url,titol,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,referencia,data_extraccio
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08007-58373524015_109300/,,3300,,126 m²,,2,,2ª,FE0817,2026-04-06
https://www.pisos.com/alquilar/apartamento-les_tres_torres08017-58344984705_522145/,,5000,,234 m²,,4,,1ª,000708,2026-04-06
https://www.pisos.com/alquilar/loft-sant_pere_santa_caterina_la_ribera08003-57515334340_100500/,,7500,,307 m²,,2,,Bajo,DVP0044ML/10799,2026-04-06
https://www.pisos.com/alquilar/piso-la_nova_esquerra_de_eixample08029-56706495352_525696/,,1600,,81 m²,,3,,3ª,ATV097VSE,2026-04-06
https://www.pisos.com/alquilar/atico-les_tres_torres08017-55876877572_108900/,,18000,,281 m²,,4,,,1309,2026-04-06
https://www.pisos.com/alquilar/duplex-el_carmel-55927493017_106600/,,1050,,70 m²,,,,,SD.0.17,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample08010-54235282157_108700/,,10990,,249 m²,,5,,,35042,2026-04-06
https://www.pisos.com/alquilar/duplex-antiga_esquerra_de_eixample08006-52507404280_522145/,,8000,,640 m²,,2,,Bajo,000557,2026-04-06
https://www.pisos.com/alquilar/piso-eixample_sant_antoni08011-45861386027_100500/,,3775,,112 m²,,3,,3ª,ATITLAN,2026-04-06
https://www.pisos.com/alquilar/piso-eixample_sant_antoni08011-40926700251_100500/,,3280,,75 m²,,2,,4ª,SONGE,2026-04-06
https://www.pisos.com/alquilar/atico-eixample_sant_antoni-40880564760_100500/,,2525,,134 m²,,2,,5ª,VIETRI,2026-04-06
https://www.pisos.com/alquilar/piso-sant_marti_el_poblenou-40841769343_100500/,,2550,,55 m²,,2,,,MINORI,2026-04-06
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera-40904291924_100500/,,2490,,71 m²,,2,,1ª,ARROS,2026-04-06
https://www.pisos.com/alquilar/piso-la_vila_de_gracia-40897909433_100500/,,2015,,70 m²,,1,,1ª,CASARES,2026-04-06
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample-40846461900_100500/,,3045,,90 m²,,2,,1ª,KAKWA,2026-04-06
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-40921029900_100500/,,2120,,60 m²,,1,,1ª,SHOKAI,2026-04-06
https://www.pisos.com/alquilar/atico-la_sagrada_familia-40894250616_100500/,,2610,,110 m²,,3,,6ª,YOKO,2026-04-06
https://www.pisos.com/alquilar/piso-eixample_sant_antoni-40860119015_100500/,,2430,,70 m²,,2,,1ª,AROCHE,2026-04-06
https://www.pisos.com/alquilar/piso-antiga_esquerra_de_eixample08011-40869526190_100500/,,2845,,105 m²,,2,,,TELLA,2026-04-06
https://www.pisos.com/alquilar/piso-la_dreta_de_eixample-40846644743_100500/,,3230,,80 m²,,2,,1ª,BARA,2026-04-06
