url,titol,descripcio,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,antiguitat_anys,referencia,moblat,armaris_empotrats,calefaccio,cuina_equipada,ascensor,terrassa,data_extraccio
https://www.pisos.com/alquilar/duplex-sarria_sant_gervasi_sarria-64258300566_100500/,Dúplex en alquiler en Passatge de Jorba en Sarrià por 5.000 €/mes,"Espectacular vivienda tipo dúplex de 190 m2 con terraza, jardín y piscina privada, ubicada en el prestigioso barrio de sarrià-sant gervasi, cerca de hospitales de referencia, colegios y universidades internacionales. La propiedad ofrece una distribución excelente. En la planta superior se encu...",5000,sarria sant gervasi sarria 6 0/,190 m²,180 m²,3,3,Bajo,,C047/12242,,1,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-64172595905_103800/,Piso en alquiler en El Born en Sant Pere-Santa Caterina-La Ribera por 2.000 €/mes,"Alquiler vacacional alquiler vacacional de más de 32 días, únicamente por motivos de ocio, vacacional, recreativo o cultural o temporal imprescindible presentar un documento acreditativo del motivo para poder alquilar. En una finca clásica completamente rehabilitada, se presenta esta viviend...",2000,sant pere santa caterina la ribera 5 0/,61 m²,No indicada,2,2,2ª,,AG1273,,,Eléctrica,,,,2026-05-25
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-63430059133_103800/,Piso en alquiler en El Born en Sant Pere-Santa Caterina-La Ribera por 2.500 €/mes,"Piso en el born, con 91 m² construidos, 2 dormitorios, 2 baños, buen estado, exterior, planta 4, 1 terraza(s), cocina equipada, ascensor, amueblado, orientación sur, calefacción individual, energía calefacción eléctrica, agua caliente individual, suelo de parquet, balcón. Piso vacacional 2 hab d...",2500,sant pere santa caterina la ribera 3 0/,91 m²,No indicada,2,2,4ª,,AG1272,,,Eléctrica,,,,2026-05-25
https://www.pisos.com/alquilar/piso-ciutat_vella_la_barceloneta-63386754306_103800/,Piso en alquiler en Ciutat Vellala Barceloneta en La Barceloneta por 1.350 €/mes,"Alquiler vacacional alquiler vacacional de más de 32 días, únicamente por motivos de ocio, vacacional, recreativo o cultural o temporal imprescindible presentar un documento acreditativo del motivo para poder alquilar. La barceloneta es uno de los barrios más carismáticos y dinámicos de barce...",1350,ciutat vella la barceloneta 6 0/,34 m²,No indicada,1,1,4ª,,AG1219,,,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-barcelona_capital-64191197954_106400/,Piso en alquiler en Carrer de Lorda en Barcelona Capital por 1.210 €/mes,"Estudio en alquiler en barcelona - ideal para autónomos, empresarios,.. . descubre este encantador estudio/local en alquiler, perfecto para quienes buscan un espacio que combine trabajo y vivienda. Con una superficie de 37 m² construidos y 36 m² útiles, este estudio/local cuenta con un salón/coc...",1210,4 0/,37 m²,37 m²,,1,,Más de 50 años,98319529-LORDA 2,,,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany08006-62586491131_106700/,Piso en alquiler en Sant Gervasi- Galvany en Sant Gervasi-Galvany por 3.700 €/mes,"Nuestras tarifas inician desde 2000€, variando según la temporada y la residencia seleccionada. Para brindarte la mejor atención, por favor contáctanos y consulta disponibilidad y precio exacto para tus fechas. Piso muy bonito, en una zona muy buena, cerca de la calle diagonal, a 10 minutos a pi...",3700,sant gervasi galvany 1 0/,95 m²,95 m²,2,1,,,loft david,,,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-ciutat_vella_la_barceloneta08003-64237187750_106400/,Piso en alquiler en La Barceloneta en La Barceloneta por 1.180 €/mes,"**piso en alquiler en barceloneta - ¡tu nuevo hogar a pasos de la playa! ** ¡descubre este encantador apartamento amueblado disponible a partir del 1º de julio de 2026 en la vibrante zona de barceloneta! situado a solo 150 metros de la playa, este piso es ideal para disfrutar del sol y el mar. C...",1180,ciutat vella la barceloneta 0 0/,45 m²,45 m²,2,1,Bajo,Más de 50 años,107074043-R402326,,,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-nou_barris-62528385785_106700/,Piso en alquiler en Vilapicina I La Torre Llobeta en Nou Barris por 4.000 €/mes,"Nuestras tarifas inician desde 2000€, variando según la temporada y la residencia seleccionada. Para brindarte la mejor atención, por favor contáctanos y consulta disponibilidad y precio exacto para tus fechas. Bienvenido a tu próximo hogar vacacional en barcelona! este piso de tres habitaciones...",4000,nou barris 5 0/,60 m²,60 m²,3,1,,,LUXURY AND CONFORTABLE,,,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-el_raval-64188975637_106400/,Piso en alquiler en El Raval en El Raval por 3.350 €/mes,Oportunidad de alquiler en el corazón de barcelona! ***alquiler de temporada *** fotos de referencia. Consumos a parte. 200€/mes. Este exclusivo piso renovado te espera a solo cinco minutos de paseo de gracia. Disfruta de un espacio sofisticado y amplio en un edificio rehabilitado con materiales...,3350,el raval 7 0/,111 m²,111 m²,3,3,4ª,Entre 10 y 20 años,97473188-Gravina8,,,,,,,2026-05-25
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-64175065053_106400/,Piso en alquiler en Sant Gervasi-Galvany en Sant Gervasi-Galvany por 1.600 €/mes,"Disponible desde el 16 de junio - alquiler temporal para uso vacacional ¡bienvenido a este acogedor apartamento situado en el tranquilo y exclusivo barrio de sant gervasi, una de las mejores zonas residenciales de barcelona! ubicado en un edificio moderno con ascensor, este apartamento destaca po...",1600,sant gervasi galvany 3 0/,45 m²,45 m²,1,1,1ª,Menos de 5 años,106769880-MC.1.1-2JUN,,,,,,,2026-05-25
