url,titol,descripcio,preu_eur,ubicacio,superficie_construida_m2,superficie_util_m2,habitacions,banys,planta,antiguitat_anys,referencia,moblat,armaris_empotrats,calefaccio,cuina_equipada,ascensor,terrassa,data_extraccio
https://www.pisos.com/alquilar/piso-eixample_sant_antoni-63389817804_106400/,Piso en alquiler en Plaça de la Universitat en Sant Antoni por 2.900 €/mes,Contactar por whatsap al + 3 4 6 2 5 5 3 0 1 1 0 contacte con nosotros para ver más inmuebles similares que no están publicados pero tenemos en cartera por whatsap al + 3 4 6 2 5 5 3 0 1 1 0 y te ayudaremos a buscar el inmueble que necesitas. **piso en alquiler temporal en el corazón de barcelona...,2900,eixample sant antoni 4 0/,90 m²,90 m²,2,2,Bajo,,111240897-gravina2hentreplanta3 27 julio 2026,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-el_raval-62527842268_106400/,"Piso en alquiler en Calle Rambla La, 33 en El Raval por 1.600 €/mes","Piso en alquiler en las ramblas, barcelona - recién reformado y a estrenar vive en el corazón de barcelona, en las ramblas, en este espectacular piso recién reformado. Ubicado en una quinta planta con ascensor, este luminoso y moderno hogar combina el encanto del centro histórico con el confort d...",1600,el raval 8 0/,70 m²,70 m²,2,2,3ª,,110687033-lasramblas2h,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_gervasi_galvany-63356589089_106400/,"Piso en alquiler en Carrer de Marià Cubí, cerca de Carrer de l' Avenir en Sant Gervasi-Galvany por 2.000 €/mes","Disponible desde enero 2026 este apartamento sólo está disponible para estancias temporales y no es adecuado para uso turístico o residencial permanente. Al hacer la reserva, los huéspedes deben proporcionar un motivo de viaje válido aceptado por la legislación local para confirmar la reserva. ¡b...",2000,sant gervasi galvany 9 0/,65 m²,65 m²,2,1,,Menos de 5 años,106771230-Abr6-MC.B.B-LD,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-el_barri_gotic08002-61695993503_100500/,Piso en alquiler en Carrer de La Boqueria en El Barri Gòtic por 2.085 €/mes,"Espectacular piso de temporada reformado en el corazón del barrio gótico – listo para entrar a vivir vive en una de las zonas más emblemáticas y vibrantes de barcelona. Este precioso apartamento recién reformado se encuentra en pleno barrio gótico, estratégicamente ubicado entre las estacione...",2085,el barri gotic 3 0/,100 m²,No indicada,2,1,2ª,Más de 50 años,BR015,,1,,Cocina amueblada,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-63357881493_103800/,Piso en alquiler en El Born en Sant Pere-Santa Caterina-La Ribera por 1.800 €/mes,"Piso vacacional 2 hab y 2 baños + terraza comunitaria alquiler vacacional de más de 32 días, únicamente por motivos de ocio, vacacional, recreativo o cultural o temporal imprescindible presentar un documento acreditativo del motivo para poder alquilar. En una finca clásica completamente rehab...",1800,sant pere santa caterina la ribera 3 0/,62 m²,No indicada,2,2,4ª,,50-AG,,1,Eléctrica,,,,2026-05-26
https://www.pisos.com/alquilar/duplex-sarria_sant_gervasi_sarria-64258300566_100500/,Dúplex en alquiler en Passatge de Jorba en Sarrià por 5.000 €/mes,"Espectacular vivienda tipo dúplex de 190 m2 con terraza, jardín y piscina privada, ubicada en el prestigioso barrio de sarrià-sant gervasi, cerca de hospitales de referencia, colegios y universidades internacionales. La propiedad ofrece una distribución excelente. En la planta superior se encu...",5000,sarria sant gervasi sarria 6 0/,190 m²,180 m²,3,3,Bajo,,C047/12242,,1,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-64172595905_103800/,Piso en alquiler en El Born en Sant Pere-Santa Caterina-La Ribera por 2.000 €/mes,"Alquiler vacacional alquiler vacacional de más de 32 días, únicamente por motivos de ocio, vacacional, recreativo o cultural o temporal imprescindible presentar un documento acreditativo del motivo para poder alquilar. En una finca clásica completamente rehabilitada, se presenta esta viviend...",2000,sant pere santa caterina la ribera 5 0/,61 m²,No indicada,2,2,2ª,,AG1273,,,Eléctrica,,,,2026-05-26
https://www.pisos.com/alquilar/piso-ciutat_vella_la_barceloneta-63386754306_103800/,Piso en alquiler en Ciutat Vellala Barceloneta en La Barceloneta por 1.350 €/mes,"Alquiler vacacional alquiler vacacional de más de 32 días, únicamente por motivos de ocio, vacacional, recreativo o cultural o temporal imprescindible presentar un documento acreditativo del motivo para poder alquilar. La barceloneta es uno de los barrios más carismáticos y dinámicos de barce...",1350,ciutat vella la barceloneta 6 0/,34 m²,No indicada,1,1,4ª,,AG1219,,,,,,,2026-05-26
https://www.pisos.com/alquilar/piso-sant_pere_santa_caterina_la_ribera08003-63430059133_103800/,Piso en alquiler en El Born en Sant Pere-Santa Caterina-La Ribera por 2.500 €/mes,"Piso en el born, con 91 m² construidos, 2 dormitorios, 2 baños, buen estado, exterior, planta 4, 1 terraza(s), cocina equipada, ascensor, amueblado, orientación sur, calefacción individual, energía calefacción eléctrica, agua caliente individual, suelo de parquet, balcón. Piso vacacional 2 hab d...",2500,sant pere santa caterina la ribera 3 0/,91 m²,No indicada,2,2,4ª,,AG1272,,,Eléctrica,,,,2026-05-26
https://www.pisos.com/alquilar/piso-barcelona_capital-64191197954_106400/,Piso en alquiler en Carrer de Lorda en Barcelona Capital por 1.210 €/mes,"Estudio en alquiler en barcelona - ideal para autónomos, empresarios,.. . descubre este encantador estudio/local en alquiler, perfecto para quienes buscan un espacio que combine trabajo y vivienda. Con una superficie de 37 m² construidos y 36 m² útiles, este estudio/local cuenta con un salón/coc...",1210,4 0/,37 m²,37 m²,,1,,Más de 50 años,98319529-LORDA 2,,,,,,,2026-05-26
