"preu_eur","ubicacio","superficie_construida_m2","habitacions","banys","planta","antiguitat_anys","armaris_empotrats","calefaccio","cuina_equipada","planta_num","antiguitat_num","armaris_bin","calefaccio_bin","cuina_bin","preu_m2","cluster"
1650,"El Camp En Grassot Gracia Nova",57,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.95,"4"
1750,"El Poble Sec",69,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.36,"4"
950,"Sant Andreu Barrio",34,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.94,"4"
2300,"El Barri Gotic",130,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",17.69,"3"
3000,"Gracia La Salut",94,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.91,"3"
1750,"El Poble Sec",69,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.36,"4"
1095,"Sant Pere Santa Caterina La Ribera",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.29,"4"
2700,"Antiga Esquerra De Eixample",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38.57,"4"
1187,"El Besos El Maresme",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",15.83,"4"
1260,"Sant Pere Santa Caterina La Ribera",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.2,"4"
1300,"Eixample Sant Antoni",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20,"4"
1100,"Sant Pere Santa Caterina La Ribera",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.43,"4"
1970,"El Barri Gotic",62,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.77,"4"
2524,"La Nova Esquerra De Eixample",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.69,"4"
1350,"Sant Pere Santa Caterina La Ribera",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38.57,"4"
2701,"El Raval",78,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34.63,"4"
2239,"El Raval",47,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",47.64,"4"
1265,"El Barri Gotic",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.3,"4"
1400,"El Clot",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.33,"4"
1400,"Sant Pere Santa Caterina La Ribera",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",40,"4"
3700,"La Dreta De Eixample",170,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.76,"3"
1100,"El Raval",37,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.73,"4"
1970,"El Barri Gotic",62,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.77,"4"
1700,"El Barri Gotic",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.5,"4"
1275,"Sant Pere Santa Caterina La Ribera",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",36.43,"4"
1920,"El Barri Gotic",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32,"4"
2000,"El Barri Gotic",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.67,"4"
1350,"Sant Pere Santa Caterina La Ribera",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38.57,"4"
1200,"Estudio La Vila De Gracia",28,3,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.86,"4"
1552,"Provencals Del Poblenou",16,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",97,"4"
1338,"Provencals Del Poblenou",12,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",111.5,"4"
1605,"Provencals Del Poblenou",16,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",100.31,"4"
1391,"Provencals Del Poblenou",12,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",115.92,"4"
1050,"El Barri Gotic",41,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.61,"4"
2100,"1 0/",66,2,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.82,"1"
2050,"4 0/",70,2,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.29,"1"
2050,"9 0/",66,2,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.06,"1"
2500,"5 0/",75,4,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",33.33,"4"
1700,"Les Corts Barrio",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34,"4"
3000,"La Vila De Gracia",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",35.29,"3"
1700,"El Camp De Arpa Del Clot",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.25,"4"
1800,"El Raval",97,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.56,"4"
1390,"Sants Montjuic La Bordeta",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.38,"4"
1200,"Sant Marti El Poblenou",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.46,"4"
1200,"El Raval",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.67,"4"
900,"El Barri Gotic",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",15,"4"
1996,"La Sagrada Familia",69,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.93,"4"
890,"La Sagrada Familia",30,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.67,"4"
1400,"El Camp En Grassot Gracia Nova",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28,"4"
800,"El Raval",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.86,"4"
1249,"El Poble Sec",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",22.71,"4"
2460,"Sant Pere Santa Caterina La Ribera",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.33,"4"
1330,"El Poble Sec",52,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.58,"4"
1330,"El Poble Sec",52,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.58,"4"
1330,"El Poble Sec",52,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.58,"4"
1575,"Sant Gervasi Galvany",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",63,"4"
1800,"La Dreta De Eixample",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",30,"4"
1040,"La Vila Olimpica Del Poblenou",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",13.87,"4"
1400,"El Barri Gotic",97,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",14.43,"4"
795,"La Nova Esquerra De Eixample",67,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",11.87,"4"
1250,"La Vila De Gracia",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.83,"4"
1370,"El Clot",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.08,"4"
1330,"El Poble Sec",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.6,"4"
1400,"El Barri Gotic",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",35,"4"
1265,"El Barri Gotic",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.3,"4"
1410,"El Poble Sec",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",28.2,"4"
1360,"El Poble Sec",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",27.2,"4"
1480,"El Poble Sec",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.6,"4"
1400,"El Raval",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.45,"4"
2800,"Antiga Esquerra De Eixample",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.11,"3"
1950,"Sant Marti El Poblenou",38,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",51.32,"4"
2000,"Sant Marti El Poblenou",53,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.74,"4"
2200,"Les Tres Torres",135,3,3,"2ª","Más de 50 años","","","Amueblada sin electrodomésticos",2,60,"No","No","Sí",16.3,"3"
1050,"El Raval",30,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",35,"4"
2300,"Les Corts Barrio",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.56,"4"
1100,"El Raval",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",18.33,"4"
1010,"El Raval",39,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.9,"4"
1250,"La Guineueta",26,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",48.08,"4"
1450,"El Putxet El Farro",50,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",29,"4"
1500,"Sant Pere Santa Caterina La Ribera",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.08,"4"
1900,"El Barri Gotic",90,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.11,"4"
1150,"Sant Andreu Barrio",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.91,"4"
1150,"Sant Andreu Barrio",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.91,"4"
3700,"La Dreta De Eixample",170,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.76,"3"
2400,"8 0/",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32,"4"
1300,"El Raval",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.14,"4"
750,"El Baix Guinardo",20,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.5,"4"
2000,"2 0/",75,2,1,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.67,"1"
900,"El Camp De Arpa Del Clot",35,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.71,"4"
2500,"La Sagrada Familia",100,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25,"3"
5800,"Sant Gervasi Galvany",200,4,3,"1ª","Más de 50 años","","","",1,60,"No","No","No",29,"5"
1390,"El Fort Pienc",38,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",36.58,"4"
3900,"Sant Gervasi Galvany",210,3,4,"3ª","Más de 50 años","","Eléctrica","",3,60,"No","Sí","No",18.57,"3"
2300,"La Nova Esquerra De Eixample",118,4,2,"7ª","Entre 30 y 50 años","Más de 2","Gas natural","",7,40,"Sí","Sí","No",19.49,"3"
3500,"El Guinardo",180,4,3,"7ª","Más de 50 años","2","Gas natural","",7,60,"Sí","Sí","No",19.44,"3"
2114,"La Nova Esquerra De Eixample",80,3,1,"9ª","Más de 50 años","","Gas natural","",9,60,"No","Sí","No",26.42,"4"
