"preu_eur","ubicacio","superficie_construida_m2","habitacions","banys","planta","antiguitat_anys","armaris_empotrats","calefaccio","cuina_equipada","planta_num","antiguitat_num","armaris_bin","calefaccio_bin","cuina_bin","preu_m2","cluster"
1610,"Sant Pere Santa Caterina La Ribera",80,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.12,"4"
1349,"Sants Montjuic Sants",52,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",25.94,"4"
1500,"Sants Montjuic La Bordeta",74,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",20.27,"4"
1660,"El Raval",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",23.71,"4"
2550,"Eixample Sant Antoni",120,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.25,"3"
1490,"Sants Montjuic Hostafrancs",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.8,"4"
1480,"La Dreta De Eixample",20,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",74,"4"
1474,"Sants Montjuic Sants",45,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",32.76,"4"
1550,"El Barri Gotic",55,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",28.18,"4"
1900,"La Dreta De Eixample",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",47.5,"4"
2000,"El Poble Sec",53,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.74,"4"
1900,"El Poble Sec",49,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38.78,"4"
1700,"El Poble Sec",36,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",47.22,"4"
2060,"El Camp En Grassot Gracia Nova",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",41.2,"4"
1900,"El Poble Sec",49,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38.78,"4"
2000,"El Fort Pienc",48,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",41.67,"4"
2005,"La Sagrada Familia",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.73,"4"
2100,"Sant Marti El Poblenou",47,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",44.68,"4"
2046,"La Sagrada Familia",69,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",29.65,"4"
2000,"Sant Marti El Poblenou",46,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",43.48,"4"
3000,"La Vila De Gracia",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",35.29,"3"
2200,"El Poble Sec",53,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",41.51,"4"
3000,"La Vila De Gracia",85,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",35.29,"3"
2156,"El Camp En Grassot Gracia Nova",51,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",42.27,"4"
1595,"El Besos El Maresme",32,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",49.84,"4"
1950,"La Vila De Gracia",109,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",17.89,"3"
2000,"El Poble Sec",53,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",37.74,"4"
2400,"El Raval",70,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",34.29,"4"
1950,"La Vila De Gracia",109,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",17.89,"3"
2500,"Sant Pere Santa Caterina La Ribera",50,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",50,"4"
4000,"Sant Pere Santa Caterina La Ribera",85,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",47.06,"3"
1450,"La Vila De Gracia",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.36,"4"
2200,"El Raval",30,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",73.33,"4"
1450,"El Barri Gotic",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",19.33,"4"
1610,"Sants Montjuic Hostafrancs",25,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",64.4,"4"
950,"Sants Montjuic Hostafrancs",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",19,"4"
950,"Sants Montjuic Hostafrancs",25,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38,"4"
1800,"Eixample Sant Antoni",50,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",36,"4"
1265,"El Besos El Maresme",18,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",70.28,"4"
1565,"El Besos El Maresme",32,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",48.91,"4"
1225,"El Besos El Maresme",18,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",68.06,"4"
1550,"La Vila De Gracia",78,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",19.87,"4"
3150,"Antiga Esquerra De Eixample",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",48.46,"4"
1814,"Sant Pere Santa Caterina La Ribera",41,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",44.24,"4"
1800,"El Fort Pienc",40,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",45,"4"
2000,"La Sagrada Familia",75,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",26.67,"4"
2400,"La Dreta De Eixample",110,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",21.82,"3"
1900,"Ciutat Vella La Barceloneta",60,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",31.67,"4"
2100,"El Parc La Llacuna Del Poblenou",55,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",38.18,"4"
3000,"La Nova Esquerra De Eixample",109,3,2,"1ª","Más de 50 años","","Central","",1,60,"No","Sí","No",27.52,"3"
3150,"Antiga Esquerra De Eixample",65,3,2,"1ª","Más de 50 años","","","",1,60,"No","No","No",48.46,"4"
